Date,Google Search Count
2019-01-28,17
2019-01-29,17
2019-01-30,17
2019-01-31,17
2019-02-01,17
2019-02-02,17
2019-02-03,17
2019-02-04,26
2019-02-05,26
2019-02-06,26
2019-02-07,26
2019-02-08,26
2019-02-09,26
2019-02-10,26
2019-02-11,44
2019-02-12,44
2019-02-13,44
2019-02-14,44
2019-02-15,44
2019-02-16,44
2019-02-17,44
2019-02-18,0
2019-02-19,0
2019-02-20,0
2019-02-21,0
2019-02-22,0
2019-02-23,0
2019-02-24,0
2019-02-25,27
2019-02-26,27
2019-02-27,27
2019-02-28,27
2019-03-01,27
2019-03-02,27
2019-03-03,27
2019-03-04,36
2019-03-05,36
2019-03-06,36
2019-03-07,36
2019-03-08,36
2019-03-09,36
2019-03-10,36
2019-03-11,37
2019-03-12,37
2019-03-13,37
2019-03-14,37
2019-03-15,37
2019-03-16,37
2019-03-17,37
2019-03-18,27
2019-03-19,27
2019-03-20,27
2019-03-21,27
2019-03-22,27
2019-03-23,27
2019-03-24,27
2019-03-25,54
2019-03-26,54
2019-03-27,54
2019-03-28,54
2019-03-29,54
2019-03-30,54
2019-03-31,54
2019-04-01,0
2019-04-02,0
2019-04-03,0
2019-04-04,0
2019-04-05,0
2019-04-06,0
2019-04-07,0
2019-04-08,19
2019-04-09,19
2019-04-10,19
2019-04-11,19
2019-04-12,19
2019-04-13,19
2019-04-14,19
2019-04-15,9
2019-04-16,9
2019-04-17,9
2019-04-18,9
2019-04-19,9
2019-04-20,9
2019-04-21,9
2019-04-22,0
2019-04-23,0
2019-04-24,0
2019-04-25,0
2019-04-26,0
2019-04-27,0
2019-04-28,0
2019-04-29,18
2019-04-30,18
2019-05-01,18
2019-05-02,18
2019-05-03,18
2019-05-04,18
2019-05-05,18
2019-05-06,37
2019-05-07,37
2019-05-08,37
2019-05-09,37
2019-05-10,37
2019-05-11,37
2019-05-12,37
2019-05-13,56
2019-05-14,56
2019-05-15,56
2019-05-16,56
2019-05-17,56
2019-05-18,56
2019-05-19,56
2019-05-20,38
2019-05-21,38
2019-05-22,38
2019-05-23,38
2019-05-24,38
2019-05-25,38
2019-05-26,38
2019-05-27,9
2019-05-28,9
2019-05-29,9
2019-05-30,9
2019-05-31,9
2019-06-01,9
2019-06-02,9
2019-06-03,37
2019-06-04,37
2019-06-05,37
2019-06-06,37
2019-06-07,37
2019-06-08,37
2019-06-09,37
2019-06-10,37
2019-06-11,37
2019-06-12,37
2019-06-13,37
2019-06-14,37
2019-06-15,37
2019-06-16,37
2019-06-17,9
2019-06-18,9
