symbol,date,close,volume
ETH/USD,2019-01-28,105.43,116919.95347588
ETH/USD,2019-01-29,104.01,58259.80650069
ETH/USD,2019-01-30,107.5,80182.63989981
ETH/USD,2019-01-31,105.74,67713.53752551
ETH/USD,2019-02-01,105.69,80417.73206329
ETH/USD,2019-02-02,109.34,32165.50003111
ETH/USD,2019-02-03,106.0,48264.11885639
ETH/USD,2019-02-04,106.03,30082.01157399
ETH/USD,2019-02-05,106.03,0.0
ETH/USD,2019-02-06,103.26,78290.01606222
ETH/USD,2019-02-07,103.32,25617.89354077
ETH/USD,2019-02-08,118.07,116776.95704949
ETH/USD,2019-02-09,117.98,34137.85433004
ETH/USD,2019-02-10,123.98,65308.9080813
ETH/USD,2019-02-11,119.52,54078.41509583
ETH/USD,2019-02-12,121.18,37784.22217058
ETH/USD,2019-02-13,120.58,38970.08587753
ETH/USD,2019-02-14,119.37,43213.37927674
ETH/USD,2019-02-15,120.48,25073.81080977
ETH/USD,2019-02-16,121.51,21683.65298154
ETH/USD,2019-02-17,132.34,69683.91075228
ETH/USD,2019-02-18,144.71,136945.67859328
ETH/USD,2019-02-19,142.84,91822.82862986
ETH/USD,2019-02-20,147.71,76650.35169705
ETH/USD,2019-02-21,144.17,40087.98459763
ETH/USD,2019-02-22,146.94,40300.64821341
ETH/USD,2019-02-23,157.5,89099.30773369
ETH/USD,2019-02-24,131.56,163445.21612882
ETH/USD,2019-02-25,137.54,87908.52904367
ETH/USD,2019-02-26,135.71,27188.0448721
ETH/USD,2019-02-27,134.11,65791.42775204
ETH/USD,2019-02-28,134.52,50852.3554732
ETH/USD,2019-03-01,134.79,21384.14403901
ETH/USD,2019-03-02,132.23,28561.88743014
ETH/USD,2019-03-03,129.81,28454.72947495
ETH/USD,2019-03-04,125.1,66898.86324461
ETH/USD,2019-03-05,136.49,82584.86243602
ETH/USD,2019-03-06,136.92,70564.28155099
ETH/USD,2019-03-07,136.11,38666.8295902
ETH/USD,2019-03-08,132.74,52097.75622903
ETH/USD,2019-03-09,136.45,30058.03059829
ETH/USD,2019-03-10,134.67,21511.09988217
ETH/USD,2019-03-11,131.7,42919.26672991
ETH/USD,2019-03-12,132.91,46278.07855734
ETH/USD,2019-03-13,131.12,18614.40035701
ETH/USD,2019-03-14,131.4,43022.54633831
ETH/USD,2019-03-15,135.89,33457.93295049
ETH/USD,2019-03-16,140.4,53506.02431288
ETH/USD,2019-03-17,138.02,27353.15555806
ETH/USD,2019-03-18,136.85,34696.63109607
ETH/USD,2019-03-19,137.96,18749.55419361
ETH/USD,2019-03-20,138.82,23320.93313862
ETH/USD,2019-03-21,134.3,29833.59845663
ETH/USD,2019-03-22,135.78,14835.81749767
ETH/USD,2019-03-23,136.67,30434.91753796
ETH/USD,2019-03-24,135.25,13286.4049647
ETH/USD,2019-03-25,132.93,24177.03124028
ETH/USD,2019-03-26,133.29,15378.28122048
ETH/USD,2019-03-27,139.15,31417.82424133
ETH/USD,2019-03-28,137.35,13222.47865232
ETH/USD,2019-03-29,142.71,27335.95100738
ETH/USD,2019-03-30,142.01,25780.58060212
ETH/USD,2019-03-31,141.29,7464.44608891
ETH/USD,2019-04-01,141.05,30807.37377791
ETH/USD,2019-04-02,164.62,121757.68073699
ETH/USD,2019-04-03,161.3,164618.08079024
ETH/USD,2019-04-04,157.51,70707.18204617
ETH/USD,2019-04-05,165.72,48340.92978776
ETH/USD,2019-04-06,165.44,57005.36815983
ETH/USD,2019-04-07,174.71,44834.93391946
ETH/USD,2019-04-08,180.54,87627.49845494
ETH/USD,2019-04-09,175.9,29236.8867203
ETH/USD,2019-04-10,177.54,65659.39781258
ETH/USD,2019-04-11,164.89,52065.19974125
ETH/USD,2019-04-12,164.42,34852.72828319
ETH/USD,2019-04-13,163.7,17744.18976678
ETH/USD,2019-04-14,167.98,22569.02065332
ETH/USD,2019-04-15,160.6,53476.20582851
ETH/USD,2019-04-16,166.37,31775.94245938
ETH/USD,2019-04-17,166.58,21326.25952595
ETH/USD,2019-04-18,174.04,42038.87005818
ETH/USD,2019-04-19,173.52,25695.13654122
ETH/USD,2019-04-20,173.75,26165.68467729
ETH/USD,2019-04-21,169.9,29212.2435949
ETH/USD,2019-04-22,171.56,26074.47389926
ETH/USD,2019-04-23,170.51,35068.20080984
ETH/USD,2019-04-24,165.72,51119.21384994
ETH/USD,2019-04-25,152.09,73004.03616572
ETH/USD,2019-04-26,153.05,43774.66277206
ETH/USD,2019-04-27,155.73,21193.1334655
ETH/USD,2019-04-28,153.56,13792.47994485
ETH/USD,2019-04-29,152.29,40991.15380294
ETH/USD,2019-04-30,160.36,33606.43773275
ETH/USD,2019-05-01,158.55,32353.7992553
ETH/USD,2019-05-02,158.81,24532.06601073
ETH/USD,2019-05-03,164.52,42707.77819489
ETH/USD,2019-05-04,161.95,34581.59249803
ETH/USD,2019-05-05,161.34,13915.32551227
ETH/USD,2019-05-06,171.2,64032.24253654
ETH/USD,2019-05-07,166.23,70730.01471526
ETH/USD,2019-05-08,169.51,41452.22994429
ETH/USD,2019-05-09,169.96,42903.61367397
ETH/USD,2019-05-10,172.09,59366.8995901
ETH/USD,2019-05-11,192.3,157832.01351401
ETH/USD,2019-05-12,188.17,109896.39221777
ETH/USD,2019-05-13,195.8,111071.71996897
ETH/USD,2019-05-14,217.0,127322.52365775
ETH/USD,2019-05-15,249.21,156804.45618626
ETH/USD,2019-05-16,264.73,264887.02602296
ETH/USD,2019-05-17,244.44,173804.26145394
ETH/USD,2019-05-18,234.01,68140.92524481
ETH/USD,2019-05-19,261.18,90454.7508358
ETH/USD,2019-05-20,252.3,82280.15887445
ETH/USD,2019-05-21,255.0,74201.15499354
ETH/USD,2019-05-22,243.2,65879.61444054
ETH/USD,2019-05-23,245.67,53749.51896255
ETH/USD,2019-05-24,249.68,42502.69181918
ETH/USD,2019-05-25,252.05,28022.38111275
ETH/USD,2019-05-26,268.26,60204.85399465
ETH/USD,2019-05-27,271.1,48817.99948753
ETH/USD,2019-05-28,271.67,37193.44927964
ETH/USD,2019-05-29,269.5,36424.98128814
ETH/USD,2019-05-30,254.49,104918.33823345
ETH/USD,2019-05-31,267.56,64202.01650985
ETH/USD,2019-06-01,264.86,35116.8105643
ETH/USD,2019-06-02,269.27,20632.5281414
ETH/USD,2019-06-03,249.83,84727.78438724
ETH/USD,2019-06-04,241.13,170595.48637977
ETH/USD,2019-06-05,245.88,82192.27012018
ETH/USD,2019-06-06,249.29,71799.71944486
ETH/USD,2019-06-07,249.5,71269.38525333
ETH/USD,2019-06-08,244.48,47646.81103134
ETH/USD,2019-06-09,231.25,72835.23425099
ETH/USD,2019-06-10,247.82,68465.65005403
ETH/USD,2019-06-11,245.17,65442.29965872
ETH/USD,2019-06-12,262.5,95109.4060323
ETH/USD,2019-06-13,255.15,61234.27294143
ETH/USD,2019-06-14,263.83,84913.82807515
ETH/USD,2019-06-15,269.44,53301.09648359
ETH/USD,2019-06-16,268.58,82865.24390081
ETH/USD,2019-06-17,273.74,56187.61169289
ETH/USD,2019-06-18,264.65,61247.86848591
ETH/USD,2019-06-19,268.91,37463.93221811
ETH/USD,2019-06-20,271.99,40588.11275971
ETH/USD,2019-06-21,296.08,117214.37281864
ETH/USD,2019-06-22,308.54,116845.32653578
ETH/USD,2019-06-23,305.99,72649.75142758
ETH/USD,2019-06-24,310.44,62913.04696389
ETH/USD,2019-06-25,316.88,72350.65082731
ETH/USD,2019-06-26,334.51,223195.75749449
ETH/USD,2019-06-27,293.68,233905.78143136
ETH/USD,2019-06-28,309.79,84979.95769148
ETH/USD,2019-06-29,317.0,104992.57178026
ETH/USD,2019-06-30,289.5,84055.25175695
ETH/USD,2019-07-01,293.51,99326.46106773
ETH/USD,2019-07-02,291.24,97796.24306384
ETH/USD,2019-07-03,302.1,46720.30830825
ETH/USD,2019-07-04,282.57,37822.8201875
ETH/USD,2019-07-05,287.6,42955.96432217
ETH/USD,2019-07-06,287.65,22427.64826858
ETH/USD,2019-07-07,306.47,34078.66004013
ETH/USD,2019-07-08,313.67,49502.17100442
ETH/USD,2019-07-09,307.95,47355.42623708
ETH/USD,2019-07-10,288.46,94063.94724615
ETH/USD,2019-07-11,268.49,92385.88473058
ETH/USD,2019-07-12,275.48,37677.42976303
ETH/USD,2019-07-13,269.18,48565.50521838
ETH/USD,2019-07-14,237.11,106578.61528746
ETH/USD,2019-07-15,228.13,123739.82762085
ETH/USD,2019-07-16,198.67,188369.25365139
ETH/USD,2019-07-17,211.5,134743.01537928
ETH/USD,2019-07-18,226.3,120787.72249762
ETH/USD,2019-07-19,221.45,59989.77206804
ETH/USD,2019-07-20,228.87,51817.69528935
ETH/USD,2019-07-21,225.47,45315.63208135
ETH/USD,2019-07-22,217.27,45176.73526744
ETH/USD,2019-07-23,212.05,49931.20647784
ETH/USD,2019-07-24,216.51,70895.67267491
ETH/USD,2019-07-25,219.16,50612.70542582
ETH/USD,2019-07-26,219.24,41937.27341614
ETH/USD,2019-07-27,207.11,61446.42842826
ETH/USD,2019-07-28,211.07,43046.98371285
ETH/USD,2019-07-29,210.69,38392.1195685
ETH/USD,2019-07-30,209.8,25525.99472058
ETH/USD,2019-07-31,218.68,32476.97083809
ETH/USD,2019-08-01,217.38,27816.04547198
ETH/USD,2019-08-02,217.8,31926.10766446
ETH/USD,2019-08-03,221.82,26118.51673748
ETH/USD,2019-08-04,222.9,16129.83640785
ETH/USD,2019-08-05,233.0,42523.83766868
ETH/USD,2019-08-06,226.1,52195.59577448
ETH/USD,2019-08-07,225.97,33595.96141775
ETH/USD,2019-08-08,220.85,49755.80877555
ETH/USD,2019-08-09,210.3,32685.32022534
ETH/USD,2019-08-10,206.05,33943.31598134
ETH/USD,2019-08-11,216.28,34123.15940997
ETH/USD,2019-08-12,211.2,18066.45667278
ETH/USD,2019-08-13,208.6,34698.78482127
ETH/USD,2019-08-14,186.2,59075.0375042
ETH/USD,2019-08-15,188.06,55935.45528995
ETH/USD,2019-08-16,185.5,46462.79209882
ETH/USD,2019-08-17,185.63,16282.37525453
ETH/USD,2019-08-18,194.57,23132.75012644
ETH/USD,2019-08-19,202.27,36218.94725425
ETH/USD,2019-08-20,196.44,20299.20763113
ETH/USD,2019-08-21,187.27,44413.96695686
ETH/USD,2019-08-22,190.45,47148.66365156
ETH/USD,2019-08-23,194.36,35559.19076342
ETH/USD,2019-08-24,190.96,29429.10860344
ETH/USD,2019-08-25,186.72,24294.28377398
ETH/USD,2019-08-26,188.35,43182.4069115
ETH/USD,2019-08-27,187.07,25288.73282722
ETH/USD,2019-08-28,172.81,63626.74111653
ETH/USD,2019-08-29,168.82,48129.48387562
ETH/USD,2019-08-30,168.25,31247.71976106
ETH/USD,2019-08-31,171.92,21736.482156
ETH/USD,2019-09-01,171.38,23616.15996143
ETH/USD,2019-09-02,178.84,31732.44241039
ETH/USD,2019-09-03,179.12,43029.49253381
ETH/USD,2019-09-04,175.02,39018.65743617
